Frame,Timestamp,Track_ID,X1,Y1,X2,Y2,Center_X,Center_Y,Zone,Confidence
105,8.019552432597571,3,112.99963592495179,55.16708838963347,169.14993457622654,143.02018883303455,141,99,Nenhuma,0.8
105,8.019552432597571,4,313.14175708691016,173.58159742768137,420.9213810847333,353.96768392849174,367,263,Nenhuma,0.8
105,8.019552432597571,10,304.9880237146327,9.039606652429171,349.3687024130415,96.07978892833955,327,52,Nenhuma,0.8
105,8.019552432597571,12,410.50186777976774,193.77027430633368,519.5940112513842,355.522950674908,465,274,Nenhuma,0.8
108,8.248682502100358,1,419.66796908032774,73.1510387901016,489.7955439941026,222.78094905600085,454,147,Nenhuma,0.8
108,8.248682502100358,2,1.817900013285886,101.07613664705971,75.91587261840121,248.87893642750188,38,174,Nenhuma,0.8
108,8.248682502100358,3,111.20569765026697,54.32998167808095,167.40666726141234,142.88958027358078,139,98,Nenhuma,0.8
108,8.248682502100358,4,307.7027849564963,171.03960623185122,416.9910140293408,353.9512741465179,362,262,Nenhuma,0.8
108,8.248682502100358,10,305.06060476064215,9.017511886053136,349.0566948606637,96.08365192139337,327,52,Nenhuma,0.8
108,8.248682502100358,12,410.7476387235042,198.85349402277035,516.6530084761256,356.48331066660296,463,277,Nenhuma,0.8
108,8.248682502100358,18,184.29704972800226,33.99999999999999,244.05700744286247,160.18387430737627,214,97,Nenhuma,0.8
111,8.477812571603147,1,421.157902562426,71.0547402760756,485.5016301259612,208.95084079398413,453,140,Nenhuma,0.8
111,8.477812571603147,2,1.8374502422522951,100.99211064165087,75.94310642294215,248.3674305740492,38,174,Nenhuma,0.8
111,8.477812571603147,3,109.96043079599752,53.36442259058614,164.70685781692248,140.21330177686397,137,96,Nenhuma,0.8
111,8.477812571603147,10,304.9077618555662,8.348132765013041,349.1196463956237,96.7394018444119,327,52,Nenhuma,0.8
111,8.477812571603147,12,412.7894404441551,205.5023460992191,514.617300548292,356.8506257303128,463,281,Nenhuma,0.8
111,8.477812571603147,18,188.3464774796783,33.99999999999999,248.75868754520596,159.8824923307395,218,96,Nenhuma,0.8
114,8.706942641105934,1,425.57710581312756,70.38837775757355,477.8888640035998,178.9944261676481,451,124,Nenhuma,0.8
114,8.706942641105934,2,0.42333979402751964,97.65544572572493,76.06544652776094,248.16774375229141,38,172,Nenhuma,0.8
114,8.706942641105934,3,108.8700197535377,53.00918602131352,160.99969670764682,135.88029287389142,134,94,Nenhuma,0.8
114,8.706942641105934,10,304.4100892916965,8.096579736759814,348.9281508844178,98.29400574338538,326,53,Nenhuma,0.8
114,8.706942641105934,12,410.45571440917075,212.04686694909483,509.2113721042533,356.984719292922,459,284,Nenhuma,0.8
114,8.706942641105934,18,190.9586515084599,33.25902145414186,253.58061420967948,161.30814436868292,222,97,Nenhuma,0.8
117,8.936072710608721,1,427.48937053294907,71.11425650869153,474.0436042409544,164.55967624261348,450,117,Nenhuma,0.8
117,8.936072710608721,2,1.0416235112508332,98.37845929068058,76.28551823030618,248.74497578881883,38,173,Nenhuma,0.8
117,8.936072710608721,3,108.41733649243056,52.2173043143706,160.38242875810167,134.28412359224407,134,93,Nenhuma,0.8
117,8.936072710608721,10,304.15344385498753,8.003316384486219,348.2709082714267,98.22363199641737,326,53,Nenhuma,0.8
117,8.936072710608721,12,406.72830313880036,220.53249275082715,500.89060595346064,357.0292859631005,453,288,Nenhuma,0.8
117,8.936072710608721,18,192.85431786651756,33.7260761883296,256.6093860526977,161.80248854169366,224,97,Nenhuma,0.8
120,9.16520278011151,1,429.21896411016417,71.40792729743545,473.246280815911,156.0959899686635,451,113,Nenhuma,0.8
120,9.16520278011151,2,3.6892161472889384,99.33460763465077,77.93329503657725,248.962472749062,40,174,Nenhuma,0.8
120,9.16520278011151,3,107.83608106797743,51.94223869762944,161.9637183988736,136.41996060548638,134,94,Nenhuma,0.8
120,9.16520278011151,10,304.4467675945068,7.971092105285727,347.6308138290577,96.86723128922623,326,52,Nenhuma,0.8
120,9.16520278011151,12,396.3263731403802,220.13398333314944,490.75288445071476,357.04007046470144,443,288,Nenhuma,0.8
120,9.16520278011151,18,192.30752091204548,33.90120733424142,257.0535315340428,161.276913583635,224,97,Nenhuma,0.8
